,title,author,release year,synopsis,book length,rating,number of ratings
392,"Dreaming of You (The Gamblers of Craven's, #2)",Lisa Kleypas,1994,"
She stood at danger's threshold—then love beckoned her in.
A prim, well-bred gentlewoman, Sara Fielding is a writer who puts pen to paper to create dreams. But now curiosity is luring her from the shelter of her country cottage into the dangerous world of Derek Craven—handsome, tough, and tenacious—and the most exciting man Sara has ever met.Derek rose from poverty to b",373,4.18,40674
393,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,2010,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora",432,4.0,307676
394,"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,1989,"Abducted from her convent school, headstrong Scottish beauty Jennifer Merrick does not easily surrender to Royce Westmoreland, Duke of Claymore. Known as ""The Wolf""; his very name strikes terror in the hearts of his enemies. But proud Jennifer will have nothing to do with the fierce English warrior who holds her captive, this handsome rogue who taunts her with his blazing ",438,4.21,50780
395,"Devil in Spring (The Ravenels, #3)",Lisa Kleypas,2017,"Trečioji serijos „Raveneliai. Kilmingųjų aistros"" knyga.Londono visuomenėje pasirodo temperamentingieji Raveneliai..Ar pavyks jiems išsaugoti savo valdas ir turtus?Ekscentriška nenuoramaDauguma debiutančių Londone svajoja susirasti vyrą, bet ledi Pandora Ravenel turi kitų planų. Ambicingoji gražuolė, užuot dalyvavusi pokylių sezone, mieliau leistų laiką... Planuodama visuo",288,4.09,34046
396,Nights in Rodanthe (Paperback),Nicholas Sparks,2002,"From the #1 New York Times bestselling author Nicholas Sparks comes a tender story of hope and joy; of sacrifice and forgiveness -- a moving reminder that love is possible at any age, at any time, and often comes when we least expect it. At forty-five, Adrienne Willis must rethink her entire life when her husband abandons her for a younger woman. Reeling with heartache and",222,3.84,164417
397,"Dance Upon the Air (Three Sisters Island, #1)",Nora Roberts,2001,"When Nell Channing arrives on charming Three Sisters Island, she believes that she's finally found refuge from her abusive husband--and from the terrifying life she fled so desperately eight months ago...But even in this quiet, peaceful place, Nell never feels entirely at ease. Careful to conceal her true identity, she takes a job as a cook at the local bookstore cafe--and",400,4.2,68172
398,"The Distance Between Us (Old Town Shops, #1)",Kasie West,2013,"Seventeen-year-old Caymen Meyers studies the rich like her own personal science experiment, and after years of observation she’s pretty sure they’re only good for one thing—spending money on useless stuff, like the porcelain dolls in her mother’s shop.So when Xander Spence walks into the store to pick up a doll for his grandmother, it only takes one glance for Caymen to fi",320,3.92,75238
399,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,2020,"Rosie and Dominic Vega are the perfect couple: high school sweethearts, best friends, madly in love. Well, they used to be, anyway. Now, Rosie's lucky to get a caveman grunt from the ex-soldier every time she walks in the door. Dom is faithful and a great provider, but the man she fell in love with 10 years ago is nowhere to be found. When her girlfriends encourage Rosie t",336,3.67,42780
400,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,2009,"Rehvenge has always kept his distance from the Brotherhood—even though his sister is married to a member, for he harbors a deadly secret that could make him a huge liability in their war against the lessers. As plots within and outside of the Brotherhood threaten to reveal the truth about Rehvenge, he turns to the only source of light in his darkening world, Ehlena, a vamp",527,4.36,111849
401,"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,2019,"Maddie and Theo have two things in common:1. Alexa is their best friend2. They hate each otherAfter an “Oops, we made a mistake” kiss, neither one can stop thinking about the other. With Alexa’s wedding rapidly approaching, Maddie and Theo both share bridal party responsibilities that require more interaction with each other than they’re comfortable with. Underneath the sh",351,3.78,44329
402,Love Lettering (Paperback),Kate Clayborn,2019,"Meg Mackworth’s hand-lettering skill has made her famous as the Planner of Park Slope, designing beautiful custom journals for New York City’s elite. She has another skill too: reading signs that other people miss. Like the time she sat across from Reid Sutherland and his gorgeous fiancée, and knew their upcoming marriage was doomed to fail. Weaving a secret word into thei",307,3.7,39426
403,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,2010,"“I’ve left some clues for you.If you want them, turn the page.If you don’t, put the book back on the shelf, please.”So begins the latest whirlwind romance from the bestselling authors of Nick & Norah’s Infinite Playlist. Lily has left a red notebook full of challenges on a favorite bookstore shelf, waiting for just the right guy to come along and accept its dares. But is D",260,3.76,90591
404,"A Night to Surrender (Spindle Cove, #1)",Tessa Dare,2011,"Welcome to Spindle Cove, where the ladies with delicate constitutions come for the sea air, and men in their prime are... nowhere to be found. Or are they?Spindle Cove is the destination of choice for certain types of well-bred young ladies: the painfully shy, young wives disenchanted with matrimony, and young girls too enchanted with the wrong men; it is a haven for those",372,3.75,24837
405,The Bookish Life of Nina Hill (Kindle Edition),Abbi Waxman,2019,"The only child of a single mother, Nina has her life just as she wants it: a job in a bookstore, a kick-butt trivia team, a world-class planner and a cat named Phil. If she sometimes suspects there might be more to life than reading, she just shrugs and picks up a new book. When the father Nina never knew existed suddenly dies, leaving behind innumerable sisters, brothers,",351,3.82,87372
406,"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,2022,"It will take the frosty terrain of the Arctic to show these rival scientists that their chemistry burns hot.Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn… Ha",139,3.71,38828
407,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,1994,"Three modern sisters bound by the timeless beauty of Ireland...The eldest Concannon sister, Maggie, is a reclusive, stubborn and free-spirited glassmaker—with a heart worth winning.Margaret Mary is a glass artist with an independent streak as fierce as her volatile temper. Hand-blowing glass is a difficult and exacting art, and while she may produce the delicate and the fr",416,4.22,71920
408,"Fantasy Lover (Hunter Legends, #1)",Sherrilyn Kenyon,2002,"Cursed into an eternity of slavery by his own brother, Julian of Macedon has spent centuries in hell, where the only respite he knows is measured in a handful of weeks whenever he’s summoned through an arcane spell. With the modern age, those summonings are becoming fewer and fewer, and he lives in fear of the day when they’ll stop for good.Grace Alexander doesn’t believe ",337,4.15,90374
409,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,2002,"Cocktail waitress Sookie Stackhouse is having a streak of bad luck. First her co-worker is killed, and no one seems to care. Then she comes face to-face with a beastly creature that gives her a painful and poisonous lashing. Enter the vampires, who graciously suck the poison from her veins (like they didn't enjoy it).The point is: they saved her life. So when one of the bl",291,3.96,245842
410,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,2010,"Salvation has its price . . .The words stunned Adrian for a moment, but he kept going. ""You're lying. What you're describing is impossible. There's no way to save a Strigoi. When they're gone, they're gone. They're dead. Undead. Forever.""Robert's next words weren't directed at Adrian. They were spoken to me. ""That which is dead doesn't always stay dead....""After a long and",489,4.33,281912
411,"Beautiful Stranger (Beautiful Bastard, #2)",Christina Lauren,2013,"Escaping a cheating ex, finance whiz Sara Dillon’s moved to New York City and is looking for excitement and passion without a lot of strings attached. So meeting the irresistible, sexy Brit at a dance club should have meant nothing more than a night’s fun. But the manner—and speed—with which he melts her inhibitions turns him from a one-time hookup and into her Beautiful S",345,4.16,86066
